listing_id,list_price,pull_date,permalink,Address,Address_lat,Address_long,central_air,recreation_facilities,basement,rental_property,dishwasher,hardwood_floors,central_heat,disability_features,fireplace,pets_allowed,washer_dryer,two_or_more_stories,garage_1_or_more,garage_2_or_more,garage_3_or_more,updated_kitchen,high_ceiling,master_bedroom,big_lot,forced_air,park,shopping,modern_kitchen,large_kitchen,medicalcare,laundry_room,granite_kitchen,open_kitchen,trails,maintenance,single_story,dining_room,family_room,fenced_yard,private_bathroom,open_floor_plan,floor_plan,ensuite,groundscare,river_view,view,water_view,gourmet_kitchen,efficient,corner_lot,furniture,community_swimming_pool,big_yard,private_backyard,community_outdoor_space,front_porch,lake_view,waterfront,views,lake,beach,new_construction,vaulted_ceiling,spa_or_hot_tub,basketball_court,tennis_court,playground,tennis,basketball,no_hoa,carport,master_suite,library,clubhouse,new_roof,large_porch,soccer,farm,dual_master_bedroom,community_gym,den_or_office,golf_course,jack_and_jill_bathroom,ranch,guest_parking,pond,wooded_land,city_view,swimming_pool,elevator,beds,baths,baths_full,baths_half,baths_1qtr,baths_3qtr,garage,stories,type,sub_type,lot_sqft,sqft,year_built,sold_price,sold_date,name,school_ids,elementary_school_rating,middle_school_rating,high_school_rating
2959588979,1500,2023-12-17 18:56:06.172429,https://www.realtor.com/realestateandhomes-detail/1300-N-Hudson-St-3_Arlington_VA_22201_M94823-05526,"1300 N Hudson St Unit 3 Arlington, VA 22201",38.887753,-77.097725,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,None,None,None,None,None,single_family,None,3759,4010,1940,None,None,None,"['Washington-Liberty-High-School-0772859031', 'Dorothy-Hamm-Middle-0772967701']",0,0,5
2950566630,1100,2023-12-17 18:56:06.172429,https://www.realtor.com/realestateandhomes-detail/Gmu-at-Forest-Ave_Fairfax_VA_22030_M92433-09434,"Gmu at Forest Ave and University Dr Fairfax, VA 22030",38.8314578,-77.3117471,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,None,None,None,None,None,single_family,None,None,5000,None,None,None,None,"['Oak-View-Elementary-School-0772865031', 'Woodson-High-School-0772865651', 'Frost-Middle-School-0772864151']",8,7,6
2962390212,4500,2023-12-17 18:56:06.172429,https://www.realtor.com/realestateandhomes-detail/6603-Byrnes-Dr_McLean_VA_22101_M57315-49838,"6603 Byrnes Dr McLean, VA 22101",38.917865,-77.170495,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,None,None,4,2,single_family,None,12834,6073,1956,240000,1998-08-03,None,"['Kent-Gardens-Elementary-School-0772864561', 'Longfellow-Middle-School-0772864811', 'Mclean-High-School-0772864921']",9,8,7
2960579743,2000,2023-12-17 18:56:06.172429,https://www.realtor.com/realestateandhomes-detail/6532-Chesterfield-Ave_McLean_VA_22101_M62432-19453,"6532 Chesterfield Ave McLean, VA 22101",38.915839,-77.168976,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,None,None,None,None,None,single_family,None,12400,4793,2017,None,None,None,"['Longfellow-Middle-School-0772864811', 'Kent-Gardens-Elementary-School-0772864561', 'Mclean-High-School-0772864921']",9,8,7
2948766567,1200,2023-12-17 18:56:06.172429,https://www.realtor.com/realestateandhomes-detail/306-N-Madison-St_Arlington_VA_22203_M92107-36829,"306 N Madison St Arlington, VA 22203",38.867573,-77.139107,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,None,None,None,None,None,single_family,None,None,None,None,None,None,None,"['Ashlawn-Elementary-School-0772858721', 'Kenmore-Middle-School-0772858861', 'Yorktown-High-School-0772859051']",9,8,7
2962204491,2500,2023-12-17 18:56:06.172429,https://www.realtor.com/realestateandhomes-detail/7613-Hamlet-St_Springfield_VA_22151_M55653-88521,"7613 Hamlet St Springfield, VA 22151",38.796882,-77.207459,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,None,None,None,None,None,single_family,None,15032,2248,1958,814800,2023-03-31,None,"['North-Springfield-Elementary-School-0772865021', 'Annandale-High-School-0772863561', 'Holmes-Middle-School-0772864451']",9,8,7
2960368606,3000,2023-12-17 18:56:06.172429,https://www.realtor.com/realestateandhomes-detail/8512-Overbrook-Rd_Fairfax_VA_22031_M63815-62707,"8512 Overbrook Rd Fairfax, VA 22031",38.863056,-77.23919,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,None,None,None,None,None,single_family,None,43560,2996,1951,445000,2003-12-02,None,"['Mantua-Elementary-School-0772864861', 'Woodson-High-School-0772865651', 'Frost-Middle-School-0772864151']",9,8,7
2962161825,3050,2023-12-17 18:56:06.172429,https://www.realtor.com/realestateandhomes-detail/5355-Holmes-Run-Pkwy_Alexandria_VA_22304_M57039-43662,nan,,,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,None,None,None,None,single_family,None,None,2134,None,439900,2013-10-31,None,"['James-K-Polk-Elementary-School-0772858151', 'Francis-C-Hammond-Middle-0772858121', 'Alexandria-City-High-School-0772858261']",9,8,7
2959565624,1500,2023-12-17 18:56:06.172429,https://www.realtor.com/realestateandhomes-detail/4850-Chowan-Ave_Alexandria_VA_22312_M55230-47960,"4850 Chowan Ave Alexandria, VA 22312",38.817745,-77.152377,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,None,None,None,None,None,single_family,None,27000,1445,1952,480000,2009-01-30,None,"['Holmes-Middle-School-0772864451', 'Weyanoke-Elementary-School-0772865561', 'Annandale-High-School-0772863561']",9,8,7
2960744790,1200,2023-12-17 18:56:06.172429,https://www.realtor.com/realestateandhomes-detail/9814-Portside-Dr_Burke_VA_22015_M64287-76729,"9814 Portside Dr Burke, VA 22015",38.764381,-77.285435,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,None,None,None,None,None,single_family,None,None,None,None,1350000,2022-05-18,None,"['Cherry-Run-Elementary-School-0772866011', 'Lake-Braddock-Secondary-0772864661']",9,8,7
